"Country or Area","Year","Unit","Value","Value Footnotes"
"Afghanistan","2016","Thousand metric tons","1698.19","1"
"Afghanistan","2015","Thousand metric tons","1364.8","1"
"Afghanistan","2014","Thousand metric tons","1517.4","1"
"Albania","2015","Thousand metric tons","99",""
"Argentina","2016","Thousand metric tons","23",""
"Argentina","2015","Thousand metric tons","34",""
"Argentina","2014","Thousand metric tons","57",""
"Australia","2016","Thousand metric tons","413200","2"
"Australia","2015","Thousand metric tons","424313","2"
"Australia","2014","Thousand metric tons","407007","2"
"Bangladesh","2016","Thousand metric tons","902.5","2"
"Bangladesh","2015","Thousand metric tons","675.79","2"
"Bangladesh","2014","Thousand metric tons","947","2"
"Bhutan","2016","Thousand metric tons","117.77","2"
"Bhutan","2015","Thousand metric tons","85.16","2"
"Bhutan","2014","Thousand metric tons","121.89","2"
"Botswana","2016","Thousand metric tons","1873.5",""
"Botswana","2015","Thousand metric tons","2084.6",""
"Botswana","2014","Thousand metric tons","1712",""
"Brazil","2016","Thousand metric tons","7006",""
"Brazil","2015","Thousand metric tons","6354",""
"Brazil","2014","Thousand metric tons","7936",""
"Bulgaria","2014","Thousand metric tons","0",""
"Canada","2016","Thousand metric tons","27761",""
"Canada","2015","Thousand metric tons","29826",""
"Canada","2014","Thousand metric tons","35500",""
"Chile","2016","Thousand metric tons","2525",""
"Chile","2015","Thousand metric tons","3143",""
"Chile","2014","Thousand metric tons","4164",""
"China","2016","Thousand metric tons","3410604",""
"China","2015","Thousand metric tons","3746542",""
"China","2014","Thousand metric tons","3873919",""
"Colombia","2016","Thousand metric tons","90512",""
"Colombia","2015","Thousand metric tons","85548",""
"Colombia","2014","Thousand metric tons","88578",""
"Czechia","2016","Thousand metric tons","6785",""
"Czechia","2015","Thousand metric tons","8236",""
"Czechia","2014","Thousand metric tons","8683",""
"Democratic People's Republic of Korea","2016","Thousand metric tons","28305",""
"Democratic People's Republic of Korea","2015","Thousand metric tons","24960",""
"Democratic People's Republic of Korea","2014","Thousand metric tons","23349",""
"Egypt","2014","Thousand metric tons","0",""
"Germany","2016","Thousand metric tons","4078",""
"Germany","2015","Thousand metric tons","6649",""
"Germany","2014","Thousand metric tons","8337",""
"India","2016","Thousand metric tons","662792","3"
"India","2015","Thousand metric tons","639230","3"
"India","2014","Thousand metric tons","609180","3"
"Indonesia","2016","Thousand metric tons","456000",""
"Indonesia","2015","Thousand metric tons","427280",""
"Indonesia","2014","Thousand metric tons","435743",""
"Iran (Islamic Republic of)","2016","Thousand metric tons","1115","1"
"Iran (Islamic Republic of)","2015","Thousand metric tons","1206","1"
"Iran (Islamic Republic of)","2014","Thousand metric tons","1075","1"
"Italy and San Marino","2016","Thousand metric tons","0",""
"Italy and San Marino","2015","Thousand metric tons","81",""
"Italy and San Marino","2014","Thousand metric tons","86",""
"Japan","2016","Thousand metric tons","1288",""
"Japan","2015","Thousand metric tons","1265",""
"Japan","2014","Thousand metric tons","1318",""
"Kazakhstan","2016","Thousand metric tons","97324",""
"Kazakhstan","2015","Thousand metric tons","101793",""
"Kazakhstan","2014","Thousand metric tons","107091",""
"Kyrgyzstan","2016","Thousand metric tons","248",""
"Kyrgyzstan","2015","Thousand metric tons","345",""
"Kyrgyzstan","2014","Thousand metric tons","298",""
"Lao People's Democratic Republic","2016","Thousand metric tons","138.8",""
"Lao People's Democratic Republic","2015","Thousand metric tons","135.52",""
"Lao People's Democratic Republic","2014","Thousand metric tons","257.25",""
"Malawi","2016","Thousand metric tons","43.33",""
"Malawi","2015","Thousand metric tons","58.77",""
"Malawi","2014","Thousand metric tons","63.67",""
"Malaysia","2016","Thousand metric tons","2415",""
"Malaysia","2015","Thousand metric tons","2559",""
"Malaysia","2014","Thousand metric tons","2687",""
"Mexico","2016","Thousand metric tons","4437",""
"Mexico","2015","Thousand metric tons","3186",""
"Mexico","2014","Thousand metric tons","1952",""
"Mongolia","2016","Thousand metric tons","28850.59",""
"Mongolia","2015","Thousand metric tons","18450.59",""
"Mongolia","2014","Thousand metric tons","19214.59",""
"Mozambique","2016","Thousand metric tons","5462.2",""
"Mozambique","2015","Thousand metric tons","6600.29",""
"Mozambique","2014","Thousand metric tons","6331.58",""
"Myanmar","2016","Thousand metric tons","549.9","3"
"Myanmar","2015","Thousand metric tons","419.89","3"
"Myanmar","2014","Thousand metric tons","532.59","3"
"Nepal","2016","Thousand metric tons","21",""
"Nepal","2015","Thousand metric tons","19",""
"Nepal","2014","Thousand metric tons","14.07",""
"New Zealand","2016","Thousand metric tons","1205","3"
"New Zealand","2015","Thousand metric tons","1399","3"
"New Zealand","2014","Thousand metric tons","1940","3"
"Niger","2016","Thousand metric tons","247",""
"Niger","2015","Thousand metric tons","226",""
"Niger","2014","Thousand metric tons","262.7",""
"Nigeria","2016","Thousand metric tons","46",""
"Nigeria","2015","Thousand metric tons","47",""
"Nigeria","2014","Thousand metric tons","46",""
"Norway including Svalbard and Jan Mayen Islands","2016","Thousand metric tons","818",""
"Norway including Svalbard and Jan Mayen Islands","2015","Thousand metric tons","1106",""
"Norway including Svalbard and Jan Mayen Islands","2014","Thousand metric tons","1675",""
"Pakistan","2016","Thousand metric tons","4165","4"
"Pakistan","2015","Thousand metric tons","4142","4"
"Pakistan","2014","Thousand metric tons","3712","4"
"Peru","2016","Thousand metric tons","269",""
"Peru","2015","Thousand metric tons","252",""
"Peru","2014","Thousand metric tons","231",""
"Poland","2016","Thousand metric tons","70385",""
"Poland","2015","Thousand metric tons","72176",""
"Poland","2014","Thousand metric tons","72540",""
"Republic of Korea","2016","Thousand metric tons","1726",""
"Republic of Korea","2015","Thousand metric tons","1764",""
"Republic of Korea","2014","Thousand metric tons","1748",""
"Russian Federation","2016","Thousand metric tons","294950","5"
"Russian Federation","2015","Thousand metric tons","278033",""
"Russian Federation","2014","Thousand metric tons","264042",""
"South Africa","2016","Thousand metric tons","255309",""
"South Africa","2015","Thousand metric tons","255425",""
"South Africa","2014","Thousand metric tons","260540",""
"Spain","2016","Thousand metric tons","1070",""
"Spain","2015","Thousand metric tons","1747",""
"Spain","2014","Thousand metric tons","2669",""
"Eswatini","2016","Thousand metric tons","96.8","5"
"Eswatini","2015","Thousand metric tons","86.59","5"
"Eswatini","2014","Thousand metric tons","132.64",""
"Tajikistan","2016","Thousand metric tons","1274.9",""
"Tajikistan","2015","Thousand metric tons","985",""
"Tajikistan","2014","Thousand metric tons","822",""
"Turkey","2016","Thousand metric tons","1313",""
"Turkey","2015","Thousand metric tons","1435",""
"Turkey","2014","Thousand metric tons","1821",""
"Ukraine","2016","Thousand metric tons","31631",""
"Ukraine","2015","Thousand metric tons","29917",""
"Ukraine","2014","Thousand metric tons","45932",""
"United Kingdom","2016","Thousand metric tons","4178","6"
"United Kingdom","2015","Thousand metric tons","8598","6"
"United Kingdom","2014","Thousand metric tons","11647","6"
"United Republic of Tanzania","2016","Thousand metric tons","276",""
"United Republic of Tanzania","2015","Thousand metric tons","257",""
"United Republic of Tanzania","2014","Thousand metric tons","246",""
"United States of America","2016","Thousand metric tons","294084",""
"United States of America","2015","Thousand metric tons","366929",""
"United States of America","2014","Thousand metric tons","435734",""
"Uzbekistan","2016","Thousand metric tons","360",""
"Uzbekistan","2015","Thousand metric tons","367",""
"Uzbekistan","2014","Thousand metric tons","408",""
"Venezuela (Bolivarian Republic of)","2016","Thousand metric tons","749",""
"Venezuela (Bolivarian Republic of)","2015","Thousand metric tons","830",""
"Venezuela (Bolivarian Republic of)","2014","Thousand metric tons","1200",""
"Viet Nam","2016","Thousand metric tons","38527",""
"Viet Nam","2015","Thousand metric tons","41664",""
"Viet Nam","2014","Thousand metric tons","41086",""
"Zambia","2016","Thousand metric tons","328",""
"Zambia","2015","Thousand metric tons","159",""
"Zambia","2014","Thousand metric tons","159",""
"Zimbabwe","2016","Thousand metric tons","1635.82",""
"Zimbabwe","2015","Thousand metric tons","4360",""
"Zimbabwe","2014","Thousand metric tons","5802.6",""

"fnSeqID","Footnote"
"1","Twelve months beginning 21 March of year stated."
"2","Twelve months ending 30 June of year stated."
"3","Twelve months beginning 1 April of year stated."
"4","Twelve months beginning 1 July of year stated."
"5","Provisional or estimated figure."
"6","Including Jersey and Guernsey."
