Table_name;code:  BRANCHE07;code: tid;code: TAL
ERHV1;values:;values;values
;TOT Erhverv i alt;2015;ARBSTED
;011100 Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø;2016;ANSATTE
;011100 Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø;2017;FULDBESK
;011300 Dyrkning af grøntsager og meloner, rødder og rodknolde;2018;LØNSUM
;011400 Dyrkning af sukkerrør;2019;
;011500 Dyrkning af tobak;2020;
;011600 Dyrkning af tekstilplanter;2021;
;011900 Dyrkning af andre etårige afgrøder;2022;
;012100 Dyrkning af druer;;
;012200 Dyrkning af tropiske og subtropiske frugter;;
;012300 Dyrkning af citrusfrugter;;
;012400 Dyrkning af kernefrugter og stenfrugter;;
;012500 Dyrkning af andre træfrugter, bær og nødder;;
;012600 Dyrkning af olieholdige frugter;;
;012700 Dyrkning af planter til fremstilling af drikkevarer;;
;012800 Dyrkning af krydderiplanter, aromaplanter og lægeplanter;;
;012900 Dyrkning af andre flerårige afgrøder;;
;013000 Planteformering;;
;014100 Avl af malkekvæg;;
;014200 Avl af andet kvæg og bøfler;;
;014300 Avl af heste og dyr af hestefamilien;;
;014400 Avl af kameler og dyr af kamelfamilien;;
;014500 Avl af får og geder;;
;014610 Avl af smågrise;;
;014620 Produktion af slagtesvin;;
;014700 Fjerkræavl;;
;014910 Kenneler;;
;014920 Avl af pelsdyr mv.;;
;015000 Blandet drift;;
;016100 Serviceydelser i forbindelse med planteavl;;
;016200 Serviceydelser i forbindelse med husdyravl;;
;016300 Forarbejdning af afgrøder efter høst;;
;016400 Forarbejdning af frø/sædekorn til udsæd;;
;017000 Jagt, fældefangst og serviceydelser i forbindelse hermed;;
;021000 Dyrkning af træer og andre skovbrugsaktiviteter;;
;022000 Skovning;;
;023000 Indsamling af vildtvoksende forstmateriale undtagen træer;;
;024000 Serviceydelser til skovbrug;;
;031100 Havfiskeri;;
;031200 Ferskvandsfiskeri;;
;032100 Havbrug;;
;032200 Ferskvandsbrug;;
;051000 Indvinding af stenkul;;
;052000 Indvinding af brunkul;;
;061000 Indvinding af råolie;;
;062000 Indvinding af naturgas;;
;071000 Brydning af jernmalm;;
;072100 Brydning af uran- og thoriummalme;;
;072900 Brydning af andre ikke-jernholdige metalmalme;;
;081100 Brydning af pynte- og bygningssten, kalksten, gips, kridt og skifer;;
;081200 Grus- og sandgravning, indvinding af ler og kaolin;;
;089100 Indvinding af mineraler til fremstilling af kemiske produkter og gødningsstoffer;;
;089200 Indvinding og agglomerering af tørv;;
;089300 Saltindvinding;;
;089900 Anden råstofindvinding i.a.n.;;
;091000 Serviceydelser i forbindelse med indvinding af råolie og naturgas;;
;099000 Serviceydelser i forbindelse med anden råstofindvinding;;
;101110 Forarbejdning af svinekød;;
;101190 Forarbejdning af andet kød;;
;101200 Forarbejdning og konservering af fjerkrækød;;
;101300 Produktion af kød- og fjerkrækødprodukter;;
;102010 Fremstilling af fiskemel;;
;102020 Forarbejdning og konservering af fisk, krebsdyr og bløddyr, undtagen fiskemel;;
;103100 Forarbejdning og konservering af kartofler;;
;103200 Fremstilling af frugt- og grøntsagssaft;;
;103900 Anden forarbejdning og konservering af frugt og grøntsager;;
;104100 Fremstilling af olier og fedtstoffer;;
;104200 Fremstilling af margarine o.l. spiselige fedtstoffer;;
;105100 Mejerier samt ostefremstilling;;
;105200 Fremstilling af konsumis;;
;106100 Fremstilling af mølleriprodukter;;
;106200 Fremstilling af stivelse og stivelsesprodukter;;
;107110 Industriel fremstilling af brød, kager mv.;;
;107120 Fremstilling af friske bageriprodukter;;
;107200 Fremstilling af tvebakker og kiks, fremstilling af konserverede kager, tærter mv.;;
;107300 Fremstilling af makaroni, nudler, couscous og lignende dejvarer;;
;108100 Fremstilling af sukker;;
;108200 Fremstilling af kakao, chokolade og sukkervarer;;
;108300 Forarbejdning af te og kaffe;;
;108400 Fremstilling af smagspræparater og krydderier;;
;108500 Fremstilling af færdigretter;;
;108600 Fremstilling af homogeniserede produkter og diætmad;;
;108900 Fremstilling af andre fødevarer i.a.n.;;
;109100 Fremstilling af færdige foderblandinger til landbrugsdyr;;
;109200 Fremstilling af færdige foderblandinger til kæledyr;;
;110100 Destillation, rektifikation og blanding af alkohol;;
;110200 Fremstilling af vin af druer;;
;110300 Fremstilling af cider og anden frugtvin;;
;110400 Fremstilling af andre ikke-destillerede gærede drikkevarer;;
;110500 Fremstilling af øl;;
;110600 Fremstilling af malt;;
;110700 Fremstilling af læskedrikke, fremstilling af mineralvand og andet vand på flaske;;
;120000 Fremstilling af tobaksprodukter;;
;131000 Forbehandling og spinding af tekstilfibre;;
;132000 Vævning af tekstiler;;
;133000 Efterbehandling af tekstiler;;
;139100 Fremstilling af trikotagestoffer;;
;139210 Fremstilling af boligtekstiler;;
;139220 Fremstilling af færdige tekstilvarer undtagen boligtekstiler og beklædningsartikler;;
;139300 Fremstilling af tæpper;;
;139400 Fremstilling af reb, tovværk, sejlgarn og netstoffer;;
;139500 Fremstilling af fiberdug og varer af fiberdug undtagen beklædningsartikler;;
;139600 Fremstilling af andre tekniske og industrielle tekstiler;;
;139900 Fremstilling af andre tekstiler i.a.n.;;
;141100 Fremstilling af beklædningsartikler af læder;;
;141200 Fremstilling af arbejdsbeklædning;;
;141300 Fremstilling af anden yderbeklædning;;
;141400 Fremstilling af underbeklædning;;
;141900 Fremstilling af andre beklædningsartikler samt tilbehør;;
;142000 Fremstilling af varer af pelsskind;;
;143100 Fremstilling af strikkede og hæklede strømpevarer;;
;143900 Fremstilling af andre strikkede og hæklede beklædningsartikler;;
;151100 Garvning og beredning af læder, beredning og farvning af pelsskind;;
;151200 Fremstilling af tasker, kufferter, sadelmagervarer mv.;;
;152000 Fremstilling af fodtøj;;
;161000 Udsavning og høvling af træ;;
;162100 Fremstilling af finerplader og træbaserede plader;;
;162200 Fremstilling af sammensatte parketstave;;
;162300 Fremstilling af bygningstømmer og snedkeriartikler i øvrigt;;
;162400 Fremstilling af træemballage;;
;162900 Fremstilling af andre træprodukter, fremstilling af varer af kork, strå og flettematerialer;;
;171100 Fremstilling af papirmasse;;
;171200 Fremstilling af papir og pap;;
;172100 Fremstilling af bølgepap og pap og emballage af papir og pap;;
;172200 Fremstilling af husholdningsartikler og hygiejneartikler samt toiletartikler af papir og pap;;
;172300 Fremstilling af kontorartikler af papir;;
;172400 Fremstilling af tapet;;
;172900 Fremstilling af andre papir- og papvarer;;
;181100 Trykning af dagblade;;
;181200 Anden trykning;;
;181300 Prepress- og premedia-arbejde;;
;181400 Bogbinding og lignende serviceydelser;;
;182000 Reproduktion af indspillede medier;;
;191000 Fremstilling af koks mv.;;
;192000 Fremstilling af raffinerede mineralolieprodukter;;
;201100 Fremstilling af industrigasser;;
;201200 Fremstilling af farvestoffer og pigmenter;;
;201300 Fremstilling af andre uorganiske basiskemikalier;;
;201400 Fremstilling af andre organiske basiskemikalier;;
;201500 Fremstilling af gødningsstoffer og nitrogenprodukter;;
;201600 Fremstilling af plast i ubearbejdet form;;
;201700 Fremstilling af syntetisk gummi i ubearbejdet form;;
;202000 Fremstilling af pesticider og andre agrokemiske produkter;;
;203000 Fremstilling af maling, lak og lignende overfladebehandlingsmidler, trykfarver samt tætningsmaterialer;;
;204100 Fremstilling af sæbe, rengørings- og rensemidler samt poleremidler;;
;204200 Fremstilling af parfume, hårshampoo, tandpasta mv.;;
;205100 Fremstilling af sprængstoffer;;
;205200 Fremstilling af lim;;
;205300 Fremstilling af æteriske olier;;
;205900 Fremstilling af andre kemiske produkter i.a.n.;;
;206000 Fremstilling af kemofibre;;
;211000 Fremstilling af farmaceutiske råvarer;;
;212000 Fremstilling af farmaceutiske præparater;;
;221100 Fremstilling af gummidæk og gummislanger, vulkanisering af dæk;;
;221900 Fremstilling af andre gummiprodukter;;
;222100 Fremstilling af plader, ark, rør og slanger samt profiler af plast;;
;222200 Fremstilling af plastemballage;;
;222300 Fremstilling af bygningsartikler af plast;;
;222900 Fremstilling af andre plastprodukter;;
;231100 Fremstilling af planglas;;
;231200 Formning og forarbejdning af planglas;;
;231300 Fremstilling af flasker, drikkeglas mv.;;
;231400 Fremstilling af glasfiber;;
;231900 Fremstilling og bearbejdning af andet glas (herunder teknisk glas);;
;232000 Fremstilling af ildfaste produkter;;
;233100 Fremstilling af keramiske teglsten og gulvfliser;;
;233200 Fremstilling af mursten, teglsten og byggematerialer af brændt ler;;
;234100 Fremstilling af keramiske husholdningsartikler og pyntegenstande;;
;234200 Fremstilling af keramiske sanitetsartikler;;
;234300 Fremstilling af keramiske isolatorer og isoleringsdele;;
;234400 Fremstilling af andre keramiske produkter til teknisk brug;;
;234900 Fremstilling af andre keramiske produkter;;
;235100 Fremstilling af cement;;
;235200 Fremstilling af kalk og gips;;
;236100 Fremstilling af byggematerialer af beton;;
;236200 Fremstilling af byggematerialer af gips;;
;236300 Fremstilling af færdigblandet beton;;
;236400 Fremstilling af mørtel;;
;236500 Fremstilling af fibercement;;
;236900 Fremstilling af andre beton-, gips- og cementprodukter;;
;237000 Tilhugning, tilskæring og færdigbearbejdning af sten;;
;239100 Fremstilling af slibemidler;;
;239910 Fremstilling af asfalt og tagpap;;
;239990 Fremstilling af andre ikke-metalholdige mineralske produkter i.a.n.;;
;241000 Fremstilling af råjern og råstål samt jernlegeringer;;
;242000 Fremstilling af rør og hule profiler og tilhørende fittings af stål;;
;243100 Fremstilling af stænger ved koldtrækning;;
;243200 Fremstilling af stålbånd ved koldvalsning;;
;243300 Koldbehandling;;
;243400 Fremstilling af tråd ved koldtrækning;;
;244100 Fremstilling af ædelmetaller;;
;244200 Fremstilling af aluminium;;
;244300 Fremstilling af bly, zink og tin;;
;244400 Fremstilling af kobber;;
;244500 Anden fremstilling af ikke-jernholdige metaller;;
;244600 Oparbejdning af nukleart brændsel;;
;245100 Støbning af jernprodukter;;
;245200 Støbning af stålprodukter;;
;245300 Støbning af letmetalprodukter;;
;245400 Støbning af andre ikke-jernholdige metalprodukter;;
;251100 Fremstilling af metalkonstruktioner og dele heraf;;
;251200 Fremstilling af døre og vinduer af metal;;
;252100 Fremstilling af radiatorer og kedler til centralvarmeanlæg;;
;252900 Fremstilling af andre tanke og beholdere af metal;;
;253000 Fremstilling af dampkedler undtagen centralvarmekedler;;
;254000 Fremstilling af våben og ammunition;;
;255000 Smedning, presning, sænksmedning og valsning af metal, pulvermetallurgi;;
;256100 Overfladebehandling af metal;;
;256200 Maskinforarbejdning;;
;257100 Fremstilling af bestik, skære- og klipperedskaber;;
;257200 Fremstilling af låse og hængsler;;
;257300 Fremstilling af håndværktøj;;
;259100 Fremstilling af metaltønder og lignende beholdere;;
;259200 Fremstilling af letmetalemballage;;
;259300 Fremstilling af trådvarer, kæder og fjedre;;
;259400 Fremstilling af lukkeanordninger, bolte, skruer og møtrikker;;
;259900 Fremstilling af andre færdige metalprodukter i.a.n.;;
;261100 Fremstilling af elektroniske komponenter og plader;;
;261200 Fremstilling af printplader o.l.;;
;262000 Fremstilling af computere og ydre enheder;;
;263000 Fremstilling af kommunikationsudstyr;;
;264000 Fremstilling af elektronik til husholdninger;;
;265100 Fremstilling af udstyr til måling, afprøvning, navigation og kontrol;;
;265200 Fremstilling af ure;;
;266010 Fremstilling af høreapparater og dele hertil;;
;266090 Fremstilling af bestrålingsudstyr og elektromedicinsk og elektroterapeutisk udstyr;;
;267000 Fremstilling af optiske instrumenter og fotografisk udstyr;;
;268000 Fremstilling af magnetiske og optiske media;;
;271100 Fremstilling af elektriske motorer, generatorer og transformere;;
;271200 Fremstilling af elektriske fordelings- og kontrolapparater;;
;272000 Fremstilling af batterier og akkumulatorer;;
;273100 Fremstilling af lyslederkabler;;
;273200 Fremstilling af andre elektroniske og elektriske ledninger og kabler;;
;273300 Fremstilling af tilbehør til ledninger og kabler;;
;274000 Fremstilling af elektriske belysningsartikler;;
;275100 Fremstilling af elektriske husholdningsapparater;;
;275200 Fremstilling af ikke-elektriske husholdningsapparater;;
;279000 Fremstilling af andet elektrisk udstyr;;
;281110 Fremstilling af vindmøller og dele hertil;;
;281190 Fremstilling af motorer og turbiner undtagen motorer til vindmøller, flyvemaskiner, motorkøretøjer og knallerter;;
;281200 Fremstilling af hydraulisk udstyr;;
;281300 Fremstilling af andre pumper og kompressorer;;
;281400 Fremstilling af andre haner og ventiler;;
;281500 Fremstilling af lejer, tandhjul, tandhjulsudvekslinger og drivelementer;;
;282100 Fremstilling af ovne, ildsteder og fyringsaggregater;;
;282200 Fremstilling af løfte- og håndteringsudstyr;;
;282300 Fremstilling af kontormaskiner og -udstyr (undtagen computere og ydre enheder);;
;282400 Fremstilling af motordrevet håndværktøj;;
;282500 Fremstilling af køle- og ventilationsanlæg (til industriel brug);;
;282900 Fremstilling af andre maskiner til generelle formål i.a.n.;;
;283000 Fremstilling af landbrugs- og skovbrugsmaskiner;;
;284100 Fremstilling af metalforarbejdende værktøjsmaskiner;;
;284900 Fremstilling af andre værktøjsmaskiner;;
;289100 Fremstilling af maskiner til metallurgi;;
;289200 Fremstilling af maskiner til råstofindvindingsindustrien samt bygge og anlæg;;
;289300 Fremstilling af maskiner til føde-, drikke- og tobaksvareindustrien;;
;289400 Fremstilling af maskiner til produktion af tekstiler, beklædningsartikler og læder;;
;289500 Fremstilling af maskiner til produktion af papir og pap;;
;289600 Fremstilling af maskiner til produktion af plast og gummi;;
;289900 Fremstilling af øvrige maskiner til specielle formål i.a.n.;;
;291000 Fremstilling af motorkøretøjer;;
;292000 Fremstilling af karosserier til motorkøretøjer, fremstilling af påhængsvogne og sættevogne;;
;293100 Fremstilling af elektrisk og elektronisk udstyr til motorkøretøjer;;
;293200 Fremstilling af andre dele og tilbehør til motorkøretøjer;;
;301100 Bygning af skibe og flydende materiel;;
;301200 Bygning af både til fritid og sport;;
;302000 Fremstilling af lokomotiver og andet rullende materiel til jernbaner og sporveje;;
;303000 Fremstilling af luft- og rumfartøjer o.l.;;
;304000 Fremstilling af militære kampkøretøjer;;
;309100 Fremstilling af motorcykler;;
;309200 Fremstilling af cykler og invalidekøretøjer;;
;309900 Fremstilling af andre transportmidler i.a.n.;;
;310100 Fremstilling af kontor- og butiksmøbler;;
;310200 Fremstilling af køkkenmøbler;;
;310300 Fremstilling af madrasser;;
;310900 Fremstilling af andre møbler;;
;321100 Prægning af mønter;;
;321200 Fremstilling af smykker i ædle metaller og relaterede produkter;;
;321300 Fremstilling af bijouteri og lignende varer;;
;322000 Fremstilling af musikinstrumenter;;
;323000 Fremstilling af sportsudstyr;;
;324000 Fremstilling af spil og legetøj;;
;325000 Fremstilling af medicinske og dentale instrumenter samt udstyr hertil;;
;329100 Fremstilling af koste og børster;;
;329900 Anden fremstillingsvirksomhed i.a.n.;;
;331100 Reparation af jern- og metalvarer;;
;331200 Reparation af maskiner;;
;331300 Reparation af elektronisk og optisk udstyr;;
;331400 Reparation af elektrisk udstyr;;
;331500 Reparation og vedligeholdelse af skibe og både;;
;331600 Reparation og vedligeholdelse af luft- og rumfartøjer;;
;331700 Reparation og vedligeholdelse af andre transportmidler;;
;331900 Reparation af andet udstyr;;
;332000 Installation af industrimaskiner og -udstyr;;
;351100 Produktion af elektricitet;;
;351200 Transmission af elektricitet;;
;351300 Distribution af elektricitet;;
;351400 Handel med elektricitet;;
;352100 Fremstilling af gas;;
;352200 Distribution af gas;;
;352300 Handel med gas gennem rørledninger;;
;353000 Varmeforsyning;;
;360000 Vandforsyning;;
;370000 Opsamling og behandling af spildevand;;
;381100 Indsamling af ikke-farligt affald;;
;381200 Indsamling af farligt affald;;
;382110 Behandling og bortskaffelse af ikke-farligt affald;;
;382120 Bortskaffelse af affald med energiproduktion;;
;382200 Behandling og bortskaffelse af farligt affald;;
;383100 Demontering af udtjente køretøjer, skibe, maskiner mv.;;
;383200 Genbrug af sorterede materialer;;
;390000 Rensning af jord og grundvand og anden form for forureningsbekæmpelse;;
;411000 Gennemførelse af byggeprojekter;;
;412000 Opførelse af bygninger;;
;421000 Anlæg af veje og jernbaner;;
;421100 Anlæg af veje og  motorveje;;
;421200 Anlæg af jernbaner og undergrundsbaner;;
;421300 Anlæg af broer og tunneller;;
;422000 Anlæg af ledningsnet;;
;422100 Anlæg af ledningsnet til væsker;;
;422200 Anlæg af ledningsnet til elektricitet og kommunikation;;
;429000 Anden anlægsvirksomhed;;
;429100 Anlæg af vandveje, havne, diger og dæmninger;;
;429900 Anden anlægsvirksomhed i.a.n.;;
;431100 Nedrivning;;
;431200 Forberedende byggepladsarbejder;;
;431300 Funderingsundersøgelser;;
;432100 El-installation;;
;432200 VVS- og blikkenslagerforretninger;;
;432900 Anden bygningsinstallationsvirksomhed;;
;433100 Stukkatørvirksomhed;;
;433200 Tømrer- og bygningssnedkervirksomhed;;
;433300 Udførelse af gulvbelægninger og vægbeklædning;;
;433410 Malerforretninger;;
;433420 Glarmestervirksomhed;;
;433900 Anden bygningsfærdiggørelse;;
;439100 Tagdækningsvirksomhed;;
;439910 Murere;;
;439990 Anden bygge- og anlægsvirksomhed, som kræver specialisering;;
;451110 Engroshandel med personbiler, varebiler og minibusser;;
;451120 Detailhandel med personbiler, varebiler og minibusser;;
;451910 Engros- og detailhandel med campingkøretøjer, små trailere mv.;;
;451920 Engros- og detailhandel med lastbiler og påhængsvogne mv.;;
;452010 Autoreparationsværksteder mv.;;
;452020 Karosseriværksteder og autolakererier;;
;452030 Undervognsbehandling;;
;452040 Dækservice;;
;453100 Engroshandel med reservedele og tilbehør til motorkøretøjer;;
;453200 Detailhandel med reservedele og tilbehør til motorkøretøjer;;
;454000 Salg, vedligeholdelse og reparation af motorcykler og reservedele og tilbehør hertil;;
;461100 Agenturhandel med landbrugsråvarer, levende dyr, tekstilmaterialer og halvfabrikata;;
